similarity,combination
22,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
30,['ERC20Basic.sol', 'Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
11,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
10,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
2,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
13,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
19,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
14,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
19,['ERC20Basic.sol', 'Pausable.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
3,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
18,['ERC20Basic.sol', 'Pausable.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
23,['ERC20Basic.sol', 'Pausable.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
23,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
24,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
8,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
19,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
35,['ERC20Basic.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
27,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
39,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
35,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
2,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
20,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
