similarity,combination
9,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'Token223.sol']
1,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
10,['Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol']
4,['Standard223Token.sol', 'LinkToken.sol', 'Token223.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
4,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'ERC20.sol', 'Token223.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'StandardToken.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'ERC223.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
7,['LinkReceiver.sol', 'ERC223.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'ERC223.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC223.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
3,['LinkReceiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
5,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
9,['LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'BasicToken.sol', 'Token223.sol']
5,['LinkReceiver.sol', 'ERC20.sol', 'Token223.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
15,['ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223.sol']
11,['ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
8,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'BasicTokenMock.sol', 'Token223.sol']
13,['ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
8,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223.sol']
10,['ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
9,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
7,['ERC20Basic.sol', 'StandardTokenMock.sol', 'Token223.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'ERC223.sol']
12,['ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
11,['ERC20Basic.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
9,['ERC20Basic.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
18,['ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
17,['ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
22,['ERC20Basic.sol', 'StandardToken.sol', 'Token223.sol']
7,['ERC20Basic.sol', 'ERC223.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'ERC223.sol', 'ERC223Receiver.sol']
7,['ERC20Basic.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['ERC20Basic.sol', 'ERC223.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'ERC223.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'ERC223.sol', 'Token223.sol']
7,['ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
11,['ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
5,['ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
4,['ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
9,['ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
8,['ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
9,['ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
7,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
4,['BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
9,['BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
