similarity,combination
9,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol']
13,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
12,['StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol']
14,['StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
11,['StandardToken.sol', 'Migrations.sol', 'WaxToken.sol', 'BasicToken.sol']
11,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
13,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
16,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
1,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
3,['StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
15,['StandardToken.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
18,['StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
11,['StandardToken.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
9,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
2,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
3,['Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
1,['Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
7,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
9,['Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
7,['Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
7,['Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
3,['SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
