similarity,combination
25,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
31,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
21,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['ERC20Basic.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
31,['ERC20Basic.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
3,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
10,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
6,['ERC20Basic.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['ERC20Basic.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
1,['ERC20Basic.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
19,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
12,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol']
17,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
11,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol']
10,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
13,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'WaxToken.sol', 'BasicToken.sol']
13,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
18,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
19,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
21,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
22,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
18,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
22,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
12,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
11,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
10,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
12,['Pausable.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
15,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol']
21,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
13,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['StandardToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
14,['StandardToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
17,['StandardToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
10,['Migrations.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol', 'WaxToken.sol', 'BasicToken.sol']
