similarity,combination
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'Token677.sol']
43,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'flattened.sol']
12,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol', 'linkStandardToken.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol', 'Token677.sol']
31,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'LinkToken.sol', 'flattened.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol', 'Token677.sol']
27,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkStandardToken.sol', 'flattened.sol']
5,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
49,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'flattened.sol']
41,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'Token677.sol', 'flattened.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
3,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
9,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol']
10,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'LinkReceiver.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
