similarity,combination
7,['flop.sol', 'flap.t.sol', 'dai.t.sol']
3,['flop.sol', 'vat.t.sol', 'lib.sol']
3,['flop.sol', 'vat.t.sol', 'jug.t.sol']
3,['flop.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vat.t.sol', 'end.sol']
3,['flop.sol', 'vat.t.sol', 'dai.t.sol']
2,['flop.sol', 'lib.sol', 'jug.t.sol']
7,['flop.sol', 'lib.sol', 'flap.sol']
3,['flop.sol', 'lib.sol', 'end.sol']
4,['flop.sol', 'lib.sol', 'dai.t.sol']
6,['flop.sol', 'jug.t.sol', 'flap.sol']
3,['flop.sol', 'jug.t.sol', 'end.sol']
2,['flop.sol', 'jug.t.sol', 'dai.t.sol']
3,['flop.sol', 'flap.sol', 'end.sol']
4,['flop.sol', 'flap.sol', 'dai.t.sol']
4,['flop.sol', 'end.sol', 'dai.t.sol']
6,['vow.t.sol', 'join.sol', 'flip.sol']
4,['vow.t.sol', 'join.sol', 'vow.sol']
2,['vow.t.sol', 'join.sol', 'flip.t.sol']
4,['vow.t.sol', 'join.sol', 'end.t.sol']
5,['vow.t.sol', 'join.sol', 'vat.sol']
4,['vow.t.sol', 'join.sol', 'flop.t.sol']
6,['vow.t.sol', 'join.sol', 'jug.sol']
5,['vow.t.sol', 'join.sol', 'cat.sol']
7,['vow.t.sol', 'join.sol', 'dai.sol']
3,['vow.t.sol', 'join.sol', 'fork.t.sol']
4,['vow.t.sol', 'join.sol', 'flap.t.sol']
2,['vow.t.sol', 'join.sol', 'vat.t.sol']
4,['vow.t.sol', 'join.sol', 'lib.sol']
3,['vow.t.sol', 'join.sol', 'jug.t.sol']
7,['vow.t.sol', 'join.sol', 'flap.sol']
5,['vow.t.sol', 'join.sol', 'end.sol']
3,['vow.t.sol', 'join.sol', 'dai.t.sol']
5,['vow.t.sol', 'flip.sol', 'vow.sol']
3,['vow.t.sol', 'flip.sol', 'flip.t.sol']
3,['vow.t.sol', 'flip.sol', 'end.t.sol']
6,['vow.t.sol', 'flip.sol', 'vat.sol']
5,['vow.t.sol', 'flip.sol', 'flop.t.sol']
5,['vow.t.sol', 'flip.sol', 'jug.sol']
4,['vow.t.sol', 'flip.sol', 'cat.sol']
5,['vow.t.sol', 'flip.sol', 'dai.sol']
3,['vow.t.sol', 'flip.sol', 'fork.t.sol']
5,['vow.t.sol', 'flip.sol', 'flap.t.sol']
3,['vow.t.sol', 'flip.sol', 'vat.t.sol']
6,['vow.t.sol', 'flip.sol', 'lib.sol']
4,['vow.t.sol', 'flip.sol', 'jug.t.sol']
6,['vow.t.sol', 'flip.sol', 'flap.sol']
4,['vow.t.sol', 'flip.sol', 'end.sol']
4,['vow.t.sol', 'flip.sol', 'dai.t.sol']
4,['vow.t.sol', 'vow.sol', 'flip.t.sol']
3,['vow.t.sol', 'vow.sol', 'end.t.sol']
4,['vow.t.sol', 'vow.sol', 'vat.sol']
4,['vow.t.sol', 'vow.sol', 'flop.t.sol']
6,['vow.t.sol', 'vow.sol', 'jug.sol']
4,['vow.t.sol', 'vow.sol', 'cat.sol']
8,['vow.t.sol', 'vow.sol', 'dai.sol']
4,['vow.t.sol', 'vow.sol', 'fork.t.sol']
4,['vow.t.sol', 'vow.sol', 'flap.t.sol']
2,['vow.t.sol', 'vow.sol', 'vat.t.sol']
5,['vow.t.sol', 'vow.sol', 'lib.sol']
4,['vow.t.sol', 'vow.sol', 'jug.t.sol']
5,['vow.t.sol', 'vow.sol', 'flap.sol']
4,['vow.t.sol', 'vow.sol', 'end.sol']
3,['vow.t.sol', 'vow.sol', 'dai.t.sol']
3,['vow.t.sol', 'flip.t.sol', 'end.t.sol']
3,['vow.t.sol', 'flip.t.sol', 'vat.sol']
2,['vow.t.sol', 'flip.t.sol', 'flop.t.sol']
4,['vow.t.sol', 'flip.t.sol', 'jug.sol']
4,['vow.t.sol', 'flip.t.sol', 'cat.sol']
5,['vow.t.sol', 'flip.t.sol', 'dai.sol']
3,['vow.t.sol', 'flip.t.sol', 'fork.t.sol']
2,['vow.t.sol', 'flip.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'flip.t.sol', 'vat.t.sol']
3,['vow.t.sol', 'flip.t.sol', 'lib.sol']
2,['vow.t.sol', 'flip.t.sol', 'jug.t.sol']
3,['vow.t.sol', 'flip.t.sol', 'flap.sol']
4,['vow.t.sol', 'flip.t.sol', 'end.sol']
2,['vow.t.sol', 'flip.t.sol', 'dai.t.sol']
3,['vow.t.sol', 'end.t.sol', 'vat.sol']
3,['vow.t.sol', 'end.t.sol', 'flop.t.sol']
3,['vow.t.sol', 'end.t.sol', 'jug.sol']
3,['vow.t.sol', 'end.t.sol', 'cat.sol']
4,['vow.t.sol', 'end.t.sol', 'dai.sol']
3,['vow.t.sol', 'end.t.sol', 'fork.t.sol']
3,['vow.t.sol', 'end.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'end.t.sol', 'vat.t.sol']
4,['vow.t.sol', 'end.t.sol', 'lib.sol']
3,['vow.t.sol', 'end.t.sol', 'jug.t.sol']
3,['vow.t.sol', 'end.t.sol', 'flap.sol']
3,['vow.t.sol', 'end.t.sol', 'end.sol']
3,['vow.t.sol', 'end.t.sol', 'dai.t.sol']
4,['vow.t.sol', 'vat.sol', 'flop.t.sol']
5,['vow.t.sol', 'vat.sol', 'jug.sol']
5,['vow.t.sol', 'vat.sol', 'cat.sol']
8,['vow.t.sol', 'vat.sol', 'dai.sol']
4,['vow.t.sol', 'vat.sol', 'fork.t.sol']
4,['vow.t.sol', 'vat.sol', 'flap.t.sol']
2,['vow.t.sol', 'vat.sol', 'vat.t.sol']
5,['vow.t.sol', 'vat.sol', 'lib.sol']
4,['vow.t.sol', 'vat.sol', 'jug.t.sol']
6,['vow.t.sol', 'vat.sol', 'flap.sol']
5,['vow.t.sol', 'vat.sol', 'end.sol']
5,['vow.t.sol', 'vat.sol', 'dai.t.sol']
5,['vow.t.sol', 'flop.t.sol', 'jug.sol']
5,['vow.t.sol', 'flop.t.sol', 'cat.sol']
9,['vow.t.sol', 'flop.t.sol', 'dai.sol']
3,['vow.t.sol', 'flop.t.sol', 'fork.t.sol']
