similarity,combination
2,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'flap.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'flap.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'flap.t.sol', 'flap.sol']
1,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'flip.t.sol', 'jug.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'vat.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'move.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'flop.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'cat.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'flap.t.sol']
1,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'vat.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'jug.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'cat.sol']
3,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'pit.sol', 'flop.t.sol', 'flap.sol']
