similarity,combination
16,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
45,['ERC677Token.sol', 'ERC677.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
11,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
13,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
15,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'LinkToken.sol']
12,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'Token677.sol']
38,['ERC677Token.sol', 'ERC677.sol', 'linkBasicToken.sol', 'flattened.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
19,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
15,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
53,['ERC677Token.sol', 'ERC677.sol', 'ERC677Receiver.sol', 'flattened.sol']
21,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
9,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'Token677.sol']
48,['ERC677Token.sol', 'ERC677.sol', 'linkERC20Basic.sol', 'flattened.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'Token677.sol']
37,['ERC677Token.sol', 'ERC677.sol', 'LinkToken.sol', 'flattened.sol']
12,['ERC677Token.sol', 'ERC677.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'ERC677.sol', 'linkStandardToken.sol', 'Token677.sol']
33,['ERC677Token.sol', 'ERC677.sol', 'linkStandardToken.sol', 'flattened.sol']
8,['ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
55,['ERC677Token.sol', 'ERC677.sol', 'NotERC677Compatible.sol', 'flattened.sol']
48,['ERC677Token.sol', 'ERC677.sol', 'Token677.sol', 'flattened.sol']
3,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'LinkToken.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
4,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Token677.sol']
51,['ERC677Token.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'flattened.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
10,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'Token677.sol']
42,['ERC677Token.sol', 'linkERC20.sol', 'BasicTokenMock.sol', 'flattened.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
8,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
10,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
13,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
5,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'Token677.sol']
48,['ERC677Token.sol', 'linkERC20.sol', 'StandardTokenMock.sol', 'flattened.sol']
9,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
12,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
15,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
9,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
11,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
9,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
38,['ERC677Token.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
11,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
14,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'LinkToken.sol']
15,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
7,['ERC677Token.sol', 'linkERC20.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
