similarity,combination
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20Basic.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicTokenMock.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
0,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardTokenMock.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'ERC223.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'StandardToken.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'ERC223Receiver.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'ERC20.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'LinkToken.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223Receiver.sol', 'TokenSale.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC223Receiver.sol', 'Standard223TokenReceiverMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicToken.sol', 'TokenSale.sol']
2,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'BasicToken.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'TokenSale.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'TokenSale.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenExample.sol', 'ERC20.sol', 'Standard223TokenReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'Standard223TokenReceiverTest.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'Standard223Receiver.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'SmartOracle.sol']
3,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'ERC20Basic.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'StandardToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'ERC223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223TokenReceiverExample.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
