similarity,combination
5,['vow.t.sol', 'cat.sol', 'flap.sol']
3,['vow.t.sol', 'fork.t.sol', 'flap.t.sol']
2,['vow.t.sol', 'fork.t.sol', 'vat.t.sol']
3,['vow.t.sol', 'fork.t.sol', 'jug.t.sol']
6,['vow.t.sol', 'fork.t.sol', 'flap.sol']
2,['vow.t.sol', 'flap.t.sol', 'vat.t.sol']
2,['vow.t.sol', 'flap.t.sol', 'jug.t.sol']
4,['vow.t.sol', 'flap.t.sol', 'flap.sol']
2,['vow.t.sol', 'vat.t.sol', 'jug.t.sol']
3,['vow.t.sol', 'vat.t.sol', 'flap.sol']
4,['vow.t.sol', 'jug.t.sol', 'flap.sol']
7,['join.sol', 'flip.sol', 'vow.sol']
5,['join.sol', 'flip.sol', 'flip.t.sol']
4,['join.sol', 'flip.sol', 'vat.sol']
6,['join.sol', 'flip.sol', 'flop.t.sol']
6,['join.sol', 'flip.sol', 'jug.sol']
6,['join.sol', 'flip.sol', 'cat.sol']
6,['join.sol', 'flip.sol', 'fork.t.sol']
6,['join.sol', 'flip.sol', 'flap.t.sol']
4,['join.sol', 'flip.sol', 'vat.t.sol']
6,['join.sol', 'flip.sol', 'jug.t.sol']
6,['join.sol', 'flip.sol', 'flap.sol']
4,['join.sol', 'vow.sol', 'flip.t.sol']
4,['join.sol', 'vow.sol', 'vat.sol']
5,['join.sol', 'vow.sol', 'flop.t.sol']
5,['join.sol', 'vow.sol', 'jug.sol']
4,['join.sol', 'vow.sol', 'cat.sol']
4,['join.sol', 'vow.sol', 'fork.t.sol']
4,['join.sol', 'vow.sol', 'flap.t.sol']
2,['join.sol', 'vow.sol', 'vat.t.sol']
4,['join.sol', 'vow.sol', 'jug.t.sol']
5,['join.sol', 'vow.sol', 'flap.sol']
4,['join.sol', 'flip.t.sol', 'vat.sol']
2,['join.sol', 'flip.t.sol', 'flop.t.sol']
3,['join.sol', 'flip.t.sol', 'jug.sol']
5,['join.sol', 'flip.t.sol', 'cat.sol']
2,['join.sol', 'flip.t.sol', 'fork.t.sol']
2,['join.sol', 'flip.t.sol', 'flap.t.sol']
2,['join.sol', 'flip.t.sol', 'vat.t.sol']
2,['join.sol', 'flip.t.sol', 'jug.t.sol']
5,['join.sol', 'flip.t.sol', 'flap.sol']
5,['join.sol', 'vat.sol', 'flop.t.sol']
4,['join.sol', 'vat.sol', 'jug.sol']
4,['join.sol', 'vat.sol', 'cat.sol']
5,['join.sol', 'vat.sol', 'fork.t.sol']
5,['join.sol', 'vat.sol', 'flap.t.sol']
2,['join.sol', 'vat.sol', 'vat.t.sol']
6,['join.sol', 'vat.sol', 'jug.t.sol']
4,['join.sol', 'vat.sol', 'flap.sol']
4,['join.sol', 'flop.t.sol', 'jug.sol']
6,['join.sol', 'flop.t.sol', 'cat.sol']
4,['join.sol', 'flop.t.sol', 'fork.t.sol']
3,['join.sol', 'flop.t.sol', 'flap.t.sol']
2,['join.sol', 'flop.t.sol', 'vat.t.sol']
3,['join.sol', 'flop.t.sol', 'jug.t.sol']
7,['join.sol', 'flop.t.sol', 'flap.sol']
4,['join.sol', 'jug.sol', 'cat.sol']
3,['join.sol', 'jug.sol', 'fork.t.sol']
4,['join.sol', 'jug.sol', 'flap.t.sol']
2,['join.sol', 'jug.sol', 'vat.t.sol']
2,['join.sol', 'jug.sol', 'jug.t.sol']
6,['join.sol', 'jug.sol', 'flap.sol']
5,['join.sol', 'cat.sol', 'fork.t.sol']
5,['join.sol', 'cat.sol', 'flap.t.sol']
