similarity,combination
8,['Standard223Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'StandardTokenMock.sol', 'Token223.sol']
5,['Standard223Token.sol', 'StandardToken.sol', 'ERC223.sol']
14,['Standard223Token.sol', 'StandardToken.sol', 'LinkToken.sol']
6,['Standard223Token.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
6,['Standard223Token.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
19,['Standard223Token.sol', 'StandardToken.sol', 'BasicToken.sol']
17,['Standard223Token.sol', 'StandardToken.sol', 'ERC20.sol']
8,['Standard223Token.sol', 'StandardToken.sol', 'Token223.sol']
1,['Standard223Token.sol', 'ERC223.sol', 'LinkToken.sol']
1,['Standard223Token.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'ERC223.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'ERC223.sol', 'Token223.sol']
1,['Standard223Token.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
1,['Standard223Token.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['Standard223Token.sol', 'LinkToken.sol', 'ERC20.sol']
4,['Standard223Token.sol', 'LinkToken.sol', 'Token223.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['Standard223Token.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
4,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['Standard223Token.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
4,['Standard223Token.sol', 'BasicToken.sol', 'ERC20.sol']
3,['Standard223Token.sol', 'BasicToken.sol', 'Token223.sol']
3,['Standard223Token.sol', 'ERC20.sol', 'Token223.sol']
8,['LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223Receiver.sol']
3,['LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
3,['LinkReceiver.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
3,['LinkReceiver.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223.sol']
4,['LinkReceiver.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol']
7,['LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
7,['LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'StandardToken.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'LinkToken.sol']
9,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
6,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol']
11,['LinkReceiver.sol', 'ERC20Basic.sol', 'BasicToken.sol']
8,['LinkReceiver.sol', 'ERC20Basic.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'ERC20Basic.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'Token223Receiver.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'Token223Receiver.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'Token223Receiver.sol', 'BasicToken.sol']
6,['LinkReceiver.sol', 'Token223Receiver.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'Token223Receiver.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
4,['LinkReceiver.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'BasicTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'BasicTokenMock.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
1,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
