similarity,combination
9,['SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
10,['SafeMath.sol', 'StandardToken.sol', 'ERC223.sol', 'Token223.sol']
9,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
12,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
12,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol', 'BasicToken.sol']
10,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'StandardToken.sol', 'LinkToken.sol', 'Token223.sol']
7,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
10,['SafeMath.sol', 'StandardToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
8,['SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
8,['SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
10,['SafeMath.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'StandardToken.sol', 'BasicToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'StandardToken.sol', 'ERC20.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC223.sol', 'LinkToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC223.sol', 'ERC223Receiver.sol', 'Token223.sol']
2,['SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC223.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC223.sol', 'BasicToken.sol', 'ERC20.sol']
3,['SafeMath.sol', 'ERC223.sol', 'BasicToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC223.sol', 'ERC20.sol', 'Token223.sol']
11,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'ERC20.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'ERC223Receiver.sol', 'Token223.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
9,['SafeMath.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'LinkToken.sol', 'BasicToken.sol', 'Token223.sol']
3,['SafeMath.sol', 'LinkToken.sol', 'ERC20.sol', 'Token223.sol']
1,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
2,['SafeMath.sol', 'ERC223Receiver.sol', 'BasicToken.sol', 'Token223.sol']
