similarity,combination
8,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'TokenSale.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'ERC20.sol']
10,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
11,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'LinkToken.sol']
15,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'BasicToken.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'StandardToken.sol', 'ERC20.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'TokenSale.sol']
13,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
13,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
3,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'TokenSale.sol']
6,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
10,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
2,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'TokenSale.sol']
11,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol', 'TokenSale.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
12,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'TokenSale.sol']
9,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
2,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'TokenSale.sol']
