similarity,combination
4,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
13,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol']
5,['PausableToken.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
6,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
11,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
16,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
16,['PausableToken.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
4,['PausableToken.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
17,['PausableToken.sol', 'StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
5,['PausableToken.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
14,['PausableToken.sol', 'StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
28,['PausableToken.sol', 'StandardToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
5,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
12,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
5,['PausableToken.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
12,['PausableToken.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
6,['PausableToken.sol', 'Migrations.sol', 'Ownable.sol', 'BasicToken.sol']
11,['PausableToken.sol', 'Migrations.sol', 'ERC20.sol', 'ZilliqaToken.sol']
7,['PausableToken.sol', 'Migrations.sol', 'ERC20.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'Migrations.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
7,['PausableToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ERC20.sol']
15,['PausableToken.sol', 'SafeMath.sol', 'Ownable.sol', 'ZilliqaToken.sol']
1,['PausableToken.sol', 'SafeMath.sol', 'Ownable.sol', 'BasicToken.sol']
13,['PausableToken.sol', 'SafeMath.sol', 'ERC20.sol', 'ZilliqaToken.sol']
4,['PausableToken.sol', 'SafeMath.sol', 'ERC20.sol', 'BasicToken.sol']
10,['PausableToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
16,['PausableToken.sol', 'Ownable.sol', 'ERC20.sol', 'ZilliqaToken.sol']
9,['PausableToken.sol', 'Ownable.sol', 'ERC20.sol', 'BasicToken.sol']
11,['PausableToken.sol', 'Ownable.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
8,['PausableToken.sol', 'ERC20.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
5,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'SafeMath.sol']
3,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'Ownable.sol']
4,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ERC20.sol']
15,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'ZilliqaToken.sol']
5,['Pausable.sol', 'StandardToken.sol', 'Migrations.sol', 'BasicToken.sol']
5,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'Ownable.sol']
6,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ERC20.sol']
18,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
7,['Pausable.sol', 'StandardToken.sol', 'SafeMath.sol', 'BasicToken.sol']
4,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ERC20.sol']
16,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'ZilliqaToken.sol']
5,['Pausable.sol', 'StandardToken.sol', 'Ownable.sol', 'BasicToken.sol']
19,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'ZilliqaToken.sol']
6,['Pausable.sol', 'StandardToken.sol', 'ERC20.sol', 'BasicToken.sol']
15,['Pausable.sol', 'StandardToken.sol', 'ZilliqaToken.sol', 'BasicToken.sol']
5,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'Ownable.sol']
1,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ERC20.sol']
8,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'ZilliqaToken.sol']
6,['Pausable.sol', 'Migrations.sol', 'SafeMath.sol', 'BasicToken.sol']
3,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ERC20.sol']
5,['Pausable.sol', 'Migrations.sol', 'Ownable.sol', 'ZilliqaToken.sol']
