similarity,combination
2,['LinkReceiver.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'Migrations.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'ERC677Receiver.sol']
6,['LinkReceiver.sol', 'Migrations.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'Migrations.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'Token677.sol']
59,['LinkReceiver.sol', 'Migrations.sol', 'flattened.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
3,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
6,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
58,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
9,['LinkReceiver.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
5,['LinkReceiver.sol', 'linkBasicToken.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
4,['LinkReceiver.sol', 'linkBasicToken.sol', 'Token677.sol']
50,['LinkReceiver.sol', 'linkBasicToken.sol', 'flattened.sol']
6,['LinkReceiver.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
4,['LinkReceiver.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'ERC677Receiver.sol', 'Token677.sol']
66,['LinkReceiver.sol', 'ERC677Receiver.sol', 'flattened.sol']
7,['LinkReceiver.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
10,['LinkReceiver.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
8,['LinkReceiver.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
9,['LinkReceiver.sol', 'linkERC20Basic.sol', 'Token677.sol']
62,['LinkReceiver.sol', 'linkERC20Basic.sol', 'flattened.sol']
8,['LinkReceiver.sol', 'LinkToken.sol', 'linkStandardToken.sol']
3,['LinkReceiver.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
7,['LinkReceiver.sol', 'LinkToken.sol', 'Token677.sol']
47,['LinkReceiver.sol', 'LinkToken.sol', 'flattened.sol']
3,['LinkReceiver.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
5,['LinkReceiver.sol', 'linkStandardToken.sol', 'Token677.sol']
43,['LinkReceiver.sol', 'linkStandardToken.sol', 'flattened.sol']
4,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'Token677.sol']
71,['LinkReceiver.sol', 'NotERC677Compatible.sol', 'flattened.sol']
62,['LinkReceiver.sol', 'Token677.sol', 'flattened.sol']
4,['ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol']
6,['ERC677.sol', 'linkERC20.sol', 'BasicTokenMock.sol']
6,['ERC677.sol', 'linkERC20.sol', 'StandardTokenMock.sol']
7,['ERC677.sol', 'linkERC20.sol', 'Migrations.sol']
7,['ERC677.sol', 'linkERC20.sol', 'Token677ReceiverMock.sol']
9,['ERC677.sol', 'linkERC20.sol', 'linkBasicToken.sol']
6,['ERC677.sol', 'linkERC20.sol', 'ERC677Receiver.sol']
15,['ERC677.sol', 'linkERC20.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'linkERC20.sol', 'LinkToken.sol']
8,['ERC677.sol', 'linkERC20.sol', 'linkStandardToken.sol']
6,['ERC677.sol', 'linkERC20.sol', 'NotERC677Compatible.sol']
8,['ERC677.sol', 'linkERC20.sol', 'Token677.sol']
78,['ERC677.sol', 'linkERC20.sol', 'flattened.sol']
1,['ERC677.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
1,['ERC677.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
3,['ERC677.sol', 'linkSafeMath.sol', 'Migrations.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
3,['ERC677.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
2,['ERC677.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['ERC677.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
5,['ERC677.sol', 'linkSafeMath.sol', 'LinkToken.sol']
7,['ERC677.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
4,['ERC677.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
5,['ERC677.sol', 'linkSafeMath.sol', 'Token677.sol']
77,['ERC677.sol', 'linkSafeMath.sol', 'flattened.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'Migrations.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
6,['ERC677.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
11,['ERC677.sol', 'BasicTokenMock.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
8,['ERC677.sol', 'BasicTokenMock.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'BasicTokenMock.sol', 'Token677.sol']
74,['ERC677.sol', 'BasicTokenMock.sol', 'flattened.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'Migrations.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol']
6,['ERC677.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
11,['ERC677.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['ERC677.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'StandardTokenMock.sol', 'Token677.sol']
82,['ERC677.sol', 'StandardTokenMock.sol', 'flattened.sol']
4,['ERC677.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
5,['ERC677.sol', 'Migrations.sol', 'linkBasicToken.sol']
4,['ERC677.sol', 'Migrations.sol', 'ERC677Receiver.sol']
8,['ERC677.sol', 'Migrations.sol', 'linkERC20Basic.sol']
6,['ERC677.sol', 'Migrations.sol', 'LinkToken.sol']
5,['ERC677.sol', 'Migrations.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
6,['ERC677.sol', 'Migrations.sol', 'Token677.sol']
67,['ERC677.sol', 'Migrations.sol', 'flattened.sol']
7,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
5,['ERC677.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
9,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
7,['ERC677.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
9,['ERC677.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
6,['ERC677.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
69,['ERC677.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
8,['ERC677.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
10,['ERC677.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
8,['ERC677.sol', 'linkBasicToken.sol', 'LinkToken.sol']
7,['ERC677.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
7,['ERC677.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
7,['ERC677.sol', 'linkBasicToken.sol', 'Token677.sol']
60,['ERC677.sol', 'linkBasicToken.sol', 'flattened.sol']
11,['ERC677.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
9,['ERC677.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
7,['ERC677.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
3,['ERC677.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
4,['ERC677.sol', 'ERC677Receiver.sol', 'Token677.sol']
83,['ERC677.sol', 'ERC677Receiver.sol', 'flattened.sol']
11,['ERC677.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
13,['ERC677.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
8,['ERC677.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
9,['ERC677.sol', 'linkERC20Basic.sol', 'Token677.sol']
77,['ERC677.sol', 'linkERC20Basic.sol', 'flattened.sol']
11,['ERC677.sol', 'LinkToken.sol', 'linkStandardToken.sol']
8,['ERC677.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
12,['ERC677.sol', 'LinkToken.sol', 'Token677.sol']
54,['ERC677.sol', 'LinkToken.sol', 'flattened.sol']
5,['ERC677.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
10,['ERC677.sol', 'linkStandardToken.sol', 'Token677.sol']
54,['ERC677.sol', 'linkStandardToken.sol', 'flattened.sol']
4,['ERC677.sol', 'NotERC677Compatible.sol', 'Token677.sol']
87,['ERC677.sol', 'NotERC677Compatible.sol', 'flattened.sol']
73,['ERC677.sol', 'Token677.sol', 'flattened.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'BasicTokenMock.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol']
1,['linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol']
6,['linkERC20.sol', 'linkSafeMath.sol', 'Token677ReceiverMock.sol']
3,['linkERC20.sol', 'linkSafeMath.sol', 'linkBasicToken.sol']
2,['linkERC20.sol', 'linkSafeMath.sol', 'ERC677Receiver.sol']
4,['linkERC20.sol', 'linkSafeMath.sol', 'linkERC20Basic.sol']
3,['linkERC20.sol', 'linkSafeMath.sol', 'LinkToken.sol']
1,['linkERC20.sol', 'linkSafeMath.sol', 'linkStandardToken.sol']
1,['linkERC20.sol', 'linkSafeMath.sol', 'NotERC677Compatible.sol']
3,['linkERC20.sol', 'linkSafeMath.sol', 'Token677.sol']
75,['linkERC20.sol', 'linkSafeMath.sol', 'flattened.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
7,['linkERC20.sol', 'BasicTokenMock.sol', 'Migrations.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol']
6,['linkERC20.sol', 'BasicTokenMock.sol', 'linkBasicToken.sol']
5,['linkERC20.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol']
