similarity,combination
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol', 'LinkToken.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol', 'Token677.sol']
33,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Migrations.sol', 'flattened.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
26,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
28,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'LinkToken.sol']
30,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
8,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'Token677.sol']
26,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkBasicToken.sol', 'flattened.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
25,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'linkStandardToken.sol']
6,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
33,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'flattened.sol']
27,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'LinkToken.sol']
32,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'linkStandardToken.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'NotERC677Compatible.sol']
20,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'Token677.sol']
35,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol', 'flattened.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'linkStandardToken.sol']
18,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
26,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'flattened.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol', 'NotERC677Compatible.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol', 'Token677.sol']
23,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol', 'flattened.sol']
7,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
36,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol', 'flattened.sol']
34,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'StandardTokenMock.sol', 'Token677.sol', 'flattened.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
17,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
22,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
14,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
27,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'Token677ReceiverMock.sol', 'flattened.sol']
21,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
15,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'LinkToken.sol']
24,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'linkStandardToken.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'NotERC677Compatible.sol']
13,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'Token677.sol']
25,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'linkBasicToken.sol', 'flattened.sol']
16,['ERC677Token.sol', 'LinkReceiver.sol', 'ERC677.sol', 'linkERC20.sol', 'linkSafeMath.sol', 'Migrations.sol', 'ERC677Receiver.sol', 'linkERC20Basic.sol']
