similarity,combination
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'fork.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'flap.t.sol', 'vat.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'flap.t.sol', 'jug.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'flap.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'vat.t.sol', 'jug.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'vat.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'jug.sol', 'jug.t.sol', 'flap.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'fork.t.sol', 'flap.t.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'fork.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'fork.t.sol', 'jug.t.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'fork.t.sol', 'flap.sol']
2,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'flap.t.sol', 'vat.t.sol']
3,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'flap.t.sol', 'jug.t.sol']
4,['flop.sol', 'vow.t.sol', 'join.sol', 'flip.sol', 'vow.sol', 'cat.sol', 'flap.t.sol', 'flap.sol']
