similarity,combination
1,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC223Basic.sol']
5,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token223.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
9,['LinkReceiver.sol', 'StandardToken.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'BasicToken.sol']
3,['LinkReceiver.sol', 'StandardToken.sol', 'ERC223Basic.sol']
6,['LinkReceiver.sol', 'StandardToken.sol', 'ERC20.sol']
5,['LinkReceiver.sol', 'StandardToken.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
4,['LinkReceiver.sol', 'ERC223.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
8,['LinkReceiver.sol', 'ERC223.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'ERC223.sol', 'ERC223Basic.sol']
6,['LinkReceiver.sol', 'ERC223.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC223.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
2,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
2,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
5,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'ERC223Basic.sol']
5,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'NotERC223Compatible.sol', 'Token223.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'LinkToken.sol', 'BasicToken.sol']
4,['LinkReceiver.sol', 'LinkToken.sol', 'ERC223Basic.sol']
7,['LinkReceiver.sol', 'LinkToken.sol', 'ERC20.sol']
7,['LinkReceiver.sol', 'LinkToken.sol', 'Token223.sol']
2,['LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['LinkReceiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC223Basic.sol']
6,['LinkReceiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
2,['LinkReceiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
6,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
2,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC223Basic.sol']
6,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
8,['LinkReceiver.sol', 'BasicToken.sol', 'ERC223Basic.sol']
9,['LinkReceiver.sol', 'BasicToken.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'BasicToken.sol', 'Token223.sol']
6,['LinkReceiver.sol', 'ERC223Basic.sol', 'ERC20.sol']
3,['LinkReceiver.sol', 'ERC223Basic.sol', 'Token223.sol']
5,['LinkReceiver.sol', 'ERC20.sol', 'Token223.sol']
5,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'BasicTokenMock.sol']
5,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'StandardTokenMock.sol']
19,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'StandardToken.sol']
7,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'ERC223.sol']
6,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'NotERC223Compatible.sol']
6,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'LinkToken.sol']
7,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'ERC223Receiver.sol']
11,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'Token223ReceiverMock.sol']
7,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'BasicToken.sol']
7,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'ERC223Basic.sol']
5,['ERC20Basic.sol', 'ERC223BasicToken.sol', 'ERC20.sol']
