similarity,combination
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
47,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
39,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
41,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
43,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
27,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Token.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
5,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
16,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
10,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
15,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Owned.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
4,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol']
26,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'Ledger.sol']
20,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol', 'Ledger.sol']
22,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
22,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
25,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'Migrations.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
23,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Token.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
8,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol', 'DummyToken.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'EventDefinitions.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'DummyToken.sol']
11,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'Finalizable.sol', 'Ledger.sol']
3,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'DummyToken.sol']
7,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol', 'EventDefinitions.sol', 'Ledger.sol']
