similarity,combination
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'TokenMock.sol', 'Ledger.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Savings.sol', 'DummyToken.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Savings.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Savings.sol', 'Ledger.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyToken.sol', 'Sale.sol']
7,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'DummyToken.sol', 'Ledger.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Token.sol', 'Sale.sol', 'Ledger.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'TokenReceivable.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'ControllerMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'SafeMath.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'DummyMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'LedgerMock.sol']
6,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'Finalizable.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'EventDefinitions.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'TokenMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'Savings.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'DummyToken.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'Sale.sol']
8,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'Receiver.sol', 'Ledger.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'ControllerMock.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'SafeMath.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'DummyMock.sol']
4,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'LedgerMock.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'Finalizable.sol']
5,['SavingsMock.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol', 'Pausable.sol', 'Owned.sol', 'Migrations.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
