similarity,combination
5,['SavingsMock.sol', 'DummyMock.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'LedgerMock.sol', 'Finalizable.sol']
1,['SavingsMock.sol', 'LedgerMock.sol', 'EventDefinitions.sol']
0,['SavingsMock.sol', 'LedgerMock.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'LedgerMock.sol', 'Savings.sol']
0,['SavingsMock.sol', 'LedgerMock.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'LedgerMock.sol', 'Sale.sol']
5,['SavingsMock.sol', 'LedgerMock.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'Finalizable.sol', 'EventDefinitions.sol']
1,['SavingsMock.sol', 'Finalizable.sol', 'TokenMock.sol']
2,['SavingsMock.sol', 'Finalizable.sol', 'Savings.sol']
0,['SavingsMock.sol', 'Finalizable.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'Finalizable.sol', 'Sale.sol']
5,['SavingsMock.sol', 'Finalizable.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'EventDefinitions.sol', 'TokenMock.sol']
3,['SavingsMock.sol', 'EventDefinitions.sol', 'Savings.sol']
1,['SavingsMock.sol', 'EventDefinitions.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'EventDefinitions.sol', 'Sale.sol']
5,['SavingsMock.sol', 'EventDefinitions.sol', 'Ledger.sol']
2,['SavingsMock.sol', 'TokenMock.sol', 'Savings.sol']
0,['SavingsMock.sol', 'TokenMock.sol', 'DummyToken.sol']
1,['SavingsMock.sol', 'TokenMock.sol', 'Sale.sol']
5,['SavingsMock.sol', 'TokenMock.sol', 'Ledger.sol']
2,['SavingsMock.sol', 'Savings.sol', 'DummyToken.sol']
2,['SavingsMock.sol', 'Savings.sol', 'Sale.sol']
6,['SavingsMock.sol', 'Savings.sol', 'Ledger.sol']
1,['SavingsMock.sol', 'DummyToken.sol', 'Sale.sol']
4,['SavingsMock.sol', 'DummyToken.sol', 'Ledger.sol']
5,['SavingsMock.sol', 'Sale.sol', 'Ledger.sol']
6,['IToken.sol', 'ControllerEventDefinitions.sol', 'Controller.sol']
1,['IToken.sol', 'ControllerEventDefinitions.sol', 'Pausable.sol']
