similarity,combination
3,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'Migrations.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
26,['BUSDWithBalance.sol', 'Migrations.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol']
5,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol']
7,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AdminUpgradeabilityProxy.sol']
4,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
6,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
6,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
12,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
60,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
82,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
26,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'SafeMath.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
7,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
12,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
6,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'TSDImplementation.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
86,['BUSDWithBalance.sol', 'UpgradeabilityProxy.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
3,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AddressUtils.sol']
5,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'SafeMathMock.sol', 'AdminUpgradeabilityProxy.sol']
5,['BUSDWithBalance.sol', 'SafeMath.sol', 'TSDImplementation.sol', 'Proxy.sol', 'AddressUtils.sol', 'AdminUpgradeabilityProxy.sol']
