similarity,combination
16,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
11,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token677.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
19,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'Token677.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'Token677.sol']
4,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'BasicToken.sol', 'ERC20.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'BasicTokenMock.sol', 'Token677.sol', 'ERC20.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
13,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'Token677.sol']
14,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
18,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
17,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
15,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
5,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
12,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'Token677.sol']
6,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol', 'ERC20.sol']
20,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
22,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'Token677.sol']
21,['SafeMath.sol', 'ERC677Token.sol', 'StandardTokenMock.sol', 'LinkToken.sol', 'ERC20.sol']
