similarity,combination
1,['ERC677Token.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
5,['ERC677Token.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
2,['ERC677Token.sol', 'StandardTokenMock.sol', 'Token677.sol']
6,['ERC677Token.sol', 'StandardTokenMock.sol', 'ERC20.sol']
10,['ERC677Token.sol', 'StandardToken.sol', 'Token677ReceiverMock.sol']
11,['ERC677Token.sol', 'StandardToken.sol', 'ERC677Receiver.sol']
12,['ERC677Token.sol', 'StandardToken.sol', 'LinkToken.sol']
10,['ERC677Token.sol', 'StandardToken.sol', 'NotERC677Compatible.sol']
10,['ERC677Token.sol', 'StandardToken.sol', 'BasicToken.sol']
11,['ERC677Token.sol', 'StandardToken.sol', 'Token677.sol']
12,['ERC677Token.sol', 'StandardToken.sol', 'ERC20.sol']
2,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
7,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
1,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
7,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'BasicToken.sol']
2,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
11,['ERC677Token.sol', 'Token677ReceiverMock.sol', 'ERC20.sol']
13,['ERC677Token.sol', 'ERC677Receiver.sol', 'LinkToken.sol']
1,['ERC677Token.sol', 'ERC677Receiver.sol', 'NotERC677Compatible.sol']
6,['ERC677Token.sol', 'ERC677Receiver.sol', 'BasicToken.sol']
5,['ERC677Token.sol', 'ERC677Receiver.sol', 'Token677.sol']
7,['ERC677Token.sol', 'ERC677Receiver.sol', 'ERC20.sol']
11,['ERC677Token.sol', 'LinkToken.sol', 'NotERC677Compatible.sol']
11,['ERC677Token.sol', 'LinkToken.sol', 'BasicToken.sol']
14,['ERC677Token.sol', 'LinkToken.sol', 'Token677.sol']
13,['ERC677Token.sol', 'LinkToken.sol', 'ERC20.sol']
5,['ERC677Token.sol', 'NotERC677Compatible.sol', 'BasicToken.sol']
5,['ERC677Token.sol', 'NotERC677Compatible.sol', 'Token677.sol']
6,['ERC677Token.sol', 'NotERC677Compatible.sol', 'ERC20.sol']
7,['ERC677Token.sol', 'BasicToken.sol', 'Token677.sol']
8,['ERC677Token.sol', 'BasicToken.sol', 'ERC20.sol']
6,['ERC677Token.sol', 'Token677.sol', 'ERC20.sol']
9,['LinkReceiver.sol', 'ERC677.sol', 'ERC20Basic.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'BasicTokenMock.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'StandardTokenMock.sol']
7,['LinkReceiver.sol', 'ERC677.sol', 'StandardToken.sol']
6,['LinkReceiver.sol', 'ERC677.sol', 'Token677ReceiverMock.sol']
5,['LinkReceiver.sol', 'ERC677.sol', 'ERC677Receiver.sol']
