similarity,combination
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Migrations.sol', 'DummyToken.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'Receiver.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'ControllerEventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'TokenReceivable.sol', 'DummyToken.sol']
7,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'SavingsMock.sol']
3,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'Pausable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Receiver.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'Sale.sol']
9,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'LedgerMock.sol']
9,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'SavingsMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'EventDefinitions.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'Finalizable.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'Pausable.sol']
10,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'ControllerEventDefinitions.sol']
8,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Ledger.sol', 'DummyToken.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'LedgerMock.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'EventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'Finalizable.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'Pausable.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Sale.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'SavingsMock.sol']
3,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'LedgerMock.sol', 'DummyToken.sol']
3,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'SavingsMock.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'SavingsMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'SavingsMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'SavingsMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'SavingsMock.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'EventDefinitions.sol', 'Finalizable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'EventDefinitions.sol', 'Pausable.sol']
3,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'EventDefinitions.sol', 'ControllerEventDefinitions.sol']
2,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'EventDefinitions.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Finalizable.sol', 'Pausable.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Finalizable.sol', 'ControllerEventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Finalizable.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Pausable.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'Pausable.sol', 'DummyToken.sol']
4,['Controller.sol', 'SafeMath.sol', 'IToken.sol', 'ControllerEventDefinitions.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'TokenMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'ControllerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'DummyMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Savings.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'TokenReceivable.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Receiver.sol']
24,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'EventDefinitions.sol']
9,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Finalizable.sol']
8,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'ControllerEventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Owned.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'ControllerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'DummyMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Savings.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Receiver.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenMock.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'DummyMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Savings.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Receiver.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'ControllerMock.sol', 'DummyToken.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Savings.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Migrations.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Receiver.sol']
20,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'EventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'DummyMock.sol', 'DummyToken.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Migrations.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'TokenReceivable.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Receiver.sol']
15,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Ledger.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Sale.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'LedgerMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'SavingsMock.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'EventDefinitions.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Finalizable.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'Pausable.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'ControllerEventDefinitions.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Savings.sol', 'DummyToken.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'TokenReceivable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'Receiver.sol']
19,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'Ledger.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'Sale.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'EventDefinitions.sol']
7,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'Finalizable.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Migrations.sol', 'DummyToken.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'Receiver.sol']
19,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'EventDefinitions.sol']
6,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'ControllerEventDefinitions.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'TokenReceivable.sol', 'DummyToken.sol']
18,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'Ledger.sol']
4,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'Sale.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'LedgerMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'SavingsMock.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'EventDefinitions.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'Finalizable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'Pausable.sol']
5,['Controller.sol', 'SafeMath.sol', 'Token.sol', 'Receiver.sol', 'ControllerEventDefinitions.sol']
