similarity,combination
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'LinkToken.sol', 'Token223.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol', 'Token223.sol']
5,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicToken.sol', 'ERC20.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'BasicToken.sol', 'Token223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol', 'ERC20.sol', 'Token223.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicTokenMock.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'StandardToken.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'ERC223.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'LinkToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'ERC223Receiver.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'Token223ReceiverMock.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'BasicToken.sol']
7,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'ERC20.sol']
8,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'Token223Receiver.sol', 'Token223.sol']
9,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
18,['Ownable.sol', 'SafeMath.sol', 'Standard223Token.sol', 'LinkReceiver.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
