similarity,combination
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'ERC677Receiver.sol']
7,['LinkReceiver.sol', 'StandardTokenMock.sol', 'linkERC20Basic.sol']
4,['LinkReceiver.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'StandardTokenMock.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'NotERC677Compatible.sol']
2,['LinkReceiver.sol', 'StandardTokenMock.sol', 'Token677.sol']
2,['LinkReceiver.sol', 'Migrations.sol', 'Token677ReceiverMock.sol']
4,['LinkReceiver.sol', 'Migrations.sol', 'linkBasicToken.sol']
2,['LinkReceiver.sol', 'Migrations.sol', 'ERC677Receiver.sol']
6,['LinkReceiver.sol', 'Migrations.sol', 'linkERC20Basic.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'LinkToken.sol']
3,['LinkReceiver.sol', 'Migrations.sol', 'linkStandardToken.sol']
2,['LinkReceiver.sol', 'Migrations.sol', 'NotERC677Compatible.sol']
2,['LinkReceiver.sol', 'Migrations.sol', 'Token677.sol']
5,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkBasicToken.sol']
2,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'ERC677Receiver.sol']
7,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkERC20Basic.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'LinkToken.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'linkStandardToken.sol']
4,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'NotERC677Compatible.sol']
3,['LinkReceiver.sol', 'Token677ReceiverMock.sol', 'Token677.sol']
3,['LinkReceiver.sol', 'linkBasicToken.sol', 'ERC677Receiver.sol']
9,['LinkReceiver.sol', 'linkBasicToken.sol', 'linkERC20Basic.sol']
5,['LinkReceiver.sol', 'linkBasicToken.sol', 'LinkToken.sol']
