similarity,combination
1,['Ownable.sol', 'Standard223Token.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223Token.sol', 'ERC223.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'Standard223Token.sol', 'BasicToken.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223Token.sol', 'ERC20.sol']
1,['Ownable.sol', 'Standard223Token.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverTest.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'Standard223Receiver.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'SmartOracle.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'StandardTokenMock.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'ERC223.sol']
1,['Ownable.sol', 'LinkReceiver.sol', 'LinkToken.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'BasicToken.sol']
3,['Ownable.sol', 'LinkReceiver.sol', 'TokenSale.sol']
6,['Ownable.sol', 'LinkReceiver.sol', 'ERC20.sol']
2,['Ownable.sol', 'LinkReceiver.sol', 'Standard223TokenReceiverMock.sol']
2,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'Standard223Receiver.sol']
2,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'SmartOracle.sol']
4,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'StandardTokenMock.sol']
2,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'ERC223.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'BasicToken.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'TokenSale.sol']
3,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'ERC20.sol']
1,['Ownable.sol', 'Standard223TokenReceiverTest.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'Standard223Receiver.sol', 'SmartOracle.sol']
5,['Ownable.sol', 'Standard223Receiver.sol', 'ERC20Basic.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'BasicTokenMock.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'StandardTokenMock.sol']
3,['Ownable.sol', 'Standard223Receiver.sol', 'StandardToken.sol']
2,['Ownable.sol', 'Standard223Receiver.sol', 'ERC223.sol']
3,['Ownable.sol', 'Standard223Receiver.sol', 'LinkToken.sol']
1,['Ownable.sol', 'Standard223Receiver.sol', 'ERC223Receiver.sol']
3,['Ownable.sol', 'Standard223Receiver.sol', 'BasicToken.sol']
1,['Ownable.sol', 'Standard223Receiver.sol', 'TokenSale.sol']
5,['Ownable.sol', 'Standard223Receiver.sol', 'ERC20.sol']
1,['Ownable.sol', 'Standard223Receiver.sol', 'Standard223TokenReceiverMock.sol']
8,['Ownable.sol', 'SmartOracle.sol', 'ERC20Basic.sol']
1,['Ownable.sol', 'SmartOracle.sol', 'BasicTokenMock.sol']
1,['Ownable.sol', 'SmartOracle.sol', 'StandardTokenMock.sol']
4,['Ownable.sol', 'SmartOracle.sol', 'StandardToken.sol']
1,['Ownable.sol', 'SmartOracle.sol', 'ERC223.sol']
1,['Ownable.sol', 'SmartOracle.sol', 'LinkToken.sol']
1,['Ownable.sol', 'SmartOracle.sol', 'ERC223Receiver.sol']
6,['Ownable.sol', 'SmartOracle.sol', 'BasicToken.sol']
2,['Ownable.sol', 'SmartOracle.sol', 'TokenSale.sol']
4,['Ownable.sol', 'SmartOracle.sol', 'ERC20.sol']
2,['Ownable.sol', 'SmartOracle.sol', 'Standard223TokenReceiverMock.sol']
9,['Ownable.sol', 'ERC20Basic.sol', 'BasicTokenMock.sol']
8,['Ownable.sol', 'ERC20Basic.sol', 'StandardTokenMock.sol']
10,['Ownable.sol', 'ERC20Basic.sol', 'StandardToken.sol']
4,['Ownable.sol', 'ERC20Basic.sol', 'ERC223.sol']
7,['Ownable.sol', 'ERC20Basic.sol', 'LinkToken.sol']
4,['Ownable.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol']
5,['Ownable.sol', 'ERC20Basic.sol', 'BasicToken.sol']
8,['Ownable.sol', 'ERC20Basic.sol', 'TokenSale.sol']
10,['Ownable.sol', 'ERC20Basic.sol', 'ERC20.sol']
2,['Ownable.sol', 'ERC20Basic.sol', 'Standard223TokenReceiverMock.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol']
5,['Ownable.sol', 'BasicTokenMock.sol', 'StandardToken.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'ERC223.sol']
1,['Ownable.sol', 'BasicTokenMock.sol', 'LinkToken.sol']
