token,similarity,timestamp
,42,2019-09-23 11:38:29
,42,2019-09-23 11:38:51
,42,2019-09-24 11:05:41
,42,2019-09-24 11:05:41
,42,2019-09-24 15:30:33
,42,2019-09-24 15:30:42
,42,2019-09-25 10:39:57
,42,2019-09-25 12:59:45
,42,2019-10-03 08:11:32
,42,2019-10-22 09:16:32
,42,2019-10-22 10:07:58
,42,2019-10-22 10:52:26
,42,2019-10-22 15:16:48
,42,2019-10-23 03:25:36
,42,2019-10-22 15:38:17
,42,2019-10-23 05:06:41
,42,2019-10-24 12:37:42
,42,2019-10-25 12:53:26
,42,2019-10-31 20:39:37
,42,2019-11-01 14:10:45
,42,2019-11-06 15:24:22
,42,2019-11-06 15:25:55
,42,2019-11-06 17:20:21
,42,2019-11-06 17:31:10
,42,2019-11-06 21:19:24
,42,2019-11-06 22:59:24
,42,2019-11-07 16:28:54
,42,2019-11-07 16:34:10
,42,2019-11-07 18:19:15
,42,2019-11-21 17:14:31
,42,2020-01-22 14:55:44
,42,2020-01-23 11:43:55
,42,2020-01-23 11:54:48
,42,2020-01-23 12:02:55
,42,2020-04-16 10:54:57
,42,2020-05-19 14:23:00
,42,2020-06-11 17:35:20
,42,2020-06-16 11:27:55
,42,2020-06-24 09:53:00
,42,2020-07-13 13:21:15
,42,2020-07-13 13:23:18
,42,2020-07-13 13:23:18
,42,2020-07-15 09:20:45
,42,2020-07-15 09:20:45
,42,2020-07-15 09:20:45
,42,2020-07-15 09:20:45
,42,2020-07-15 09:20:45
,42,2020-07-21 16:03:16
,42,2020-07-21 16:06:26
,42,2020-08-12 17:53:16
,42,2020-08-18 17:08:48
,42,2020-08-18 17:12:36
,42,2020-08-18 20:43:02
,42,2020-08-24 07:35:41
,42,2020-08-28 16:28:18
,42,2020-10-01 17:50:18
,42,2020-10-02 11:41:59
Dai-Stablecoin, ,  
,92,2017-12-01 14:12:29
,92,2017-12-01 16:17:51
,92,2017-12-01 16:52:45
,92,2017-12-02 03:10:59
,92,2017-12-02 14:33:19
,92,2017-12-02 19:47:21
,92,2017-12-03 03:37:40
,92,2017-12-03 12:40:34
,92,2017-12-03 13:39:05
,92,2017-12-03 23:59:03
,92,2017-12-04 00:11:14
,92,2017-12-04 20:36:15
,92,2017-12-04 20:36:54
,94,2017-12-09 14:54:34
,94,2017-12-09 16:45:10
,94,2017-12-09 16:45:41
,94,2017-12-09 16:58:20
,94,2017-12-11 12:28:01
,94,2017-12-11 15:50:57
,94,2017-12-12 14:55:36
,94,2017-12-12 16:41:12
,94,2017-12-12 17:11:53
,94,2017-12-12 18:19:39
,94,2018-01-04 20:34:51
,94,2018-01-05 17:08:55
,94,2018-01-05 23:10:26
,94,2018-01-08 19:14:12
,94,2018-01-09 14:43:04
,94,2018-01-09 20:55:45
,94,2018-01-09 21:55:55
,94,2018-01-31 13:50:12
,94,2018-01-31 13:50:29
,94,2018-01-31 16:41:54
Theta-Token, ,  
,83,2018-04-18 13:37:18
,97,2018-04-18 15:03:00
,98,2018-04-20 22:34:38
Nexo, ,  
,,2017-08-22 23:28:56
,9,2017-08-23 00:06:59
,9,2017-08-23 15:28:18
,9,2017-08-28 19:03:47
,9,2017-09-04 23:19:38
EnjinCoin, ,  
,,2018-01-03 14:25:47
,4,2018-01-03 14:45:02
,4,2018-01-05 10:55:52
,6,2018-01-05 13:49:31
,6,2018-01-05 14:35:43
,6,2018-01-05 14:37:00
,6,2018-01-05 14:48:29
,6,2018-01-05 14:50:00
MCO, ,  
,100,2019-09-10 17:56:31
,100,2020-07-10 09:08:48
Binance-USD, ,  
,91,2017-08-29 15:43:34
Bytom, ,  
,100,2018-07-15 15:55:10
DxChain-Token, ,  
,,2019-07-08 14:52:52
,3,2019-07-08 14:55:16
,55,2019-08-08 06:08:54
,100,2019-08-17 03:03:46
,100,2019-09-29 18:03:46
Swipe, ,  
,98,2018-01-06 16:02:17
,98,2018-01-09 15:35:30
,98,2018-01-09 15:41:18
,98,2018-01-09 15:42:26
,98,2018-01-09 15:43:29
,98,2018-01-09 17:02:33
,98,2018-01-09 17:37:01
Zilliqa, ,  
,,2017-09-10 20:12:31
,97,2017-09-10 20:21:36
,97,2017-09-14 10:12:45
,97,2017-09-14 17:24:50
,97,2017-09-19 17:56:33
,98,2017-09-24 15:27:37
,98,2017-10-02 21:35:11
,98,2017-10-05 13:17:00
,98,2017-10-06 04:47:30
,98,2017-10-05 14:59:36
,98,2017-10-05 15:47:25
,98,2017-10-05 22:54:40
,98,2017-10-12 15:41:46
,98,2017-11-13 14:18:05
,98,2017-11-16 09:35:59
,98,2017-11-16 09:36:10
AION, ,  
,,2018-01-17 14:47:02
,4,2018-02-06 20:11:39
,8,2018-02-07 17:37:37
,8,2018-02-07 19:56:38
,8,2018-02-07 19:57:20
,18,2018-02-07 20:03:42
,18,2018-02-07 20:05:25
,18,2018-02-07 20:36:07
,23,2018-02-07 22:56:18
,34,2018-02-08 23:47:35
,46,2018-02-09 02:03:04
