similarity,combination
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'NotERC223Compatible.sol', 'Token223.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'BasicToken.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'LinkToken.sol', 'Token223.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223ReceiverMock.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'BasicToken.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'ERC20.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC223Receiver.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'BasicToken.sol']
4,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'ERC20.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'Token223ReceiverMock.sol', 'Token223.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'BasicToken.sol', 'Token223.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'ERC20Basic.sol', 'ERC20.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'StandardToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223ReceiverMock.sol']
2,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardTokenMock.sol', 'Token223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'NotERC223Compatible.sol']
9,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'LinkToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC223Receiver.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223ReceiverMock.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'BasicToken.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'ERC20.sol']
11,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'StandardToken.sol', 'Token223.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'NotERC223Compatible.sol']
7,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'LinkToken.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC223Receiver.sol']
5,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'ERC20.sol']
8,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'ERC223.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'LinkToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'Token223ReceiverMock.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'BasicToken.sol']
1,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'ERC20.sol']
3,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'NotERC223Compatible.sol', 'Token223.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'ERC223Receiver.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'Token223ReceiverMock.sol']
6,['SafeMath.sol', 'Standard223Token.sol', 'BasicTokenMock.sol', 'LinkToken.sol', 'BasicToken.sol']
